학교ID,학교명,gu,current_students_2025,cohort_change_2029,cohort_change_2031,model1_forecast_2029,model2_forecast_2029,model1_forecast_2031,model2_forecast_2031
B000022834,인천청람초등학교,서구,1166,1.060812779691576,1.0833372217020765,1036,914,950,797
B000022839,인천청일초등학교,서구,829,1.060812779691576,1.0833372217020765,663,649,584,566
B000025756,인천청호초등학교,서구,433,1.060812779691576,1.0833372217020765,557,377,605,343
B000003140,인천초은초등학교,서구,836,1.060812779691576,1.0833372217020765,678,656,598,573
B000026155,인천한들초등학교,서구,766,1.060812779691576,1.0833372217020765,910,638,959,571
B000026469,인천한별초등학교,서구,1599,1.060812779691576,1.0833372217020765,1545,1318,1535,1173
B000026467,인천해든초등학교,서구,1668,1.060812779691576,1.0833372217020765,1624,1398,1547,1251
B000003133,인천해원초등학교,서구,1833,1.060812779691576,1.0833372217020765,1627,1451,1541,1271
B000003051,인천능허대초등학교,연수구,701,0.9596005116197016,0.9425899037517764,546,528,472,451
B000003060,인천동막초등학교,연수구,384,0.9596005116197016,0.9425899037517764,259,286,208,243
B000003059,인천동춘초등학교,연수구,660,0.9596005116197016,0.9425899037517764,517,520,471,452
B000003068,인천먼우금초등학교,연수구,760,0.9596005116197016,0.9425899037517764,629,587,574,507
B000003048,인천명선초등학교,연수구,965,0.9596005116197016,0.9425899037517764,792,744,710,640
B000003063,인천문남초등학교,연수구,503,0.9596005116197016,0.9425899037517764,446,385,414,332
B000025246,인천미송초등학교,연수구,1554,0.9596005116197016,0.9425899037517764,1558,1246,1555,1090
B000003069,인천박문초등학교,연수구,493,0.9596005116197016,0.9425899037517764,484,395,478,346
B000025206,인천새봄초등학교,연수구,492,0.9596005116197016,0.9425899037517764,559,395,540,346
B000003061,인천서면초등학교,연수구,400,0.9596005116197016,0.9425899037517764,304,302,254,258
B000003052,인천선학초등학교,연수구,567,0.9596005116197016,0.9425899037517764,494,444,459,386
B000026504,인천송담초등학교,연수구,913,0.9596005116197016,0.9425899037517764,933,717,932,623
B000003050,인천송도초등학교,연수구,285,0.9596005116197016,0.9425899037517764,192,212,136,181
B000025189,인천송명초등학교,연수구,1173,0.9596005116197016,0.9425899037517764,1004,889,895,761
B000025225,인천송빛초등학교,연수구,762,0.9596005116197016,0.9425899037517764,654,608,584,535
