관리번호,공원명,공원구분,위도,경도,공원면적,gu,시설유형,park_function_class,park_function_label,park_function_basis,review_reason
28110-00068,영종하늘도시 14호,소공원,37.48849543,126.4964822,1129.0,중구,소공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 면적 차이 큼
28110-00094,영종하늘도시 15호,소공원,37.48413971,126.5421307,489.0,중구,소공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 면적 차이 큼
28110-00093,영종하늘도시 10호,소공원,37.47712574,126.5274515,1014.0,중구,소공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 면적 차이 큼
28110-00091,영종하늘도시 6호,소공원,37.47402974,126.5199439,1374.0,중구,소공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 면적 차이 큼
28110-00084,미단시티 2호,소공원,37.52716903,126.513794,2585.0,중구,소공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만",같은 공원명 내 면적 차이 큼
28110-00083,미단시티 1호,소공원,37.5210282,126.5397227,8120.0,중구,소공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상",같은 공원명 내 면적 차이 큼
28110-00075,미단시티 2호,근린공원,37.5170958263,126.5322437756,66408.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28110-00113,영종하늘도시 22호,근린공원,37.49640288,126.578086,58404.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28110-00112,영종하늘도시 21호,근린공원,37.49882536,126.5769702,19482.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28110-00111,영종하늘도시 15호,근린공원,37.48569764,126.5643358,48505.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28110-00110,영종하늘도시 14호,근린공원,37.48043144,126.5152632,43441.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28110-00109,영종하늘도시 11호,근린공원,37.48381815,126.5312884,97629.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28110-00108,영종하늘도시 10호,근린공원,37.47946052,126.5239245,13459.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28110-00107,영종하늘도시 8호,근린공원,37.47550762,126.508795,26615.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28110-00106,영종하늘도시 6호,근린공원,37.48180523,126.5047629,59927.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28110-00105,영종하늘도시 1호,근린공원,37.50036085,126.5012368,26063.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28110-00035,방죽공원,근린공원,37.49281711,126.5721494,17404.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28110-00034,월촌공원,근린공원,37.50057434,126.5693242,45073.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28110-00029,큰말공원,근린공원,37.4768762,126.5131651,10746.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28110-00018,큰말공원,어린이공원,37.48181912,126.5101199,2068.0,중구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만",같은 공원명 내 면적 차이 큼
28110-00012,유수지공원,근린공원,37.49966379,126.480475,58961.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28110-00065,영종하늘도시 11호,소공원,37.48247928,126.5421773,670.0,중구,소공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 면적 차이 큼
28110-00064,영종하늘도시 8호,소공원,37.47564583,126.5228568,989.0,중구,소공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 면적 차이 큼
28110-00060,영종하늘도시 1호,소공원,37.49567456,126.4999821,1230.0,중구,소공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 면적 차이 큼
28260-00106,연일공원,근린공원,37.5406974,126.6554122,30552.7,서구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28260-00124,흰여울공원,어린이공원,37.5279411,126.6267344,2965.5,서구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만",같은 공원명 내 면적 차이 큼
28260-00002,신촌공원,어린이공원,37.50775539,126.6702832,6612.0,서구,어린이공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상",같은 공원명 내 면적 차이 큼
28260-00019,월촌공원,어린이공원,37.5507274,126.6812468,2002.0,서구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만",같은 공원명 내 면적 차이 큼
28260-00011,인천교공원,근린공원,37.47555946,126.6772099,46821.0,서구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
PLAYGROUND-0008,신촌공원,놀이터,37.5079641,126.6697133,,서구,놀이터,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 면적 차이 큼
28170-00023,중앙공원,근린공원,37.44078785,126.6986523,351770.8,미추홀구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 시설유형 상이
28245-00014,동양공원,근린공원,37.561536,126.75937,16261.4,계양구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 시설유형 상이
28245-00012,서운공원,근린공원,37.527778,126.740492,12822.4,계양구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 시설유형 상이
28245-00004,살나리공원,소공원,37.537913,126.745137,669.0,계양구,소공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 시설유형 상이
28245-00002,동양공원,소공원,37.561633,126.757908,837.6,계양구,소공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 시설유형 상이
28245-00044,살나리공원,어린이공원,37.536298,126.746173,2053.5,계양구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만",같은 공원명 내 시설유형 상이
28245-00039,중앙공원,어린이공원,37.577607,126.734374,2384.5,계양구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만",같은 공원명 내 시설유형 상이
28245-00064,서운공원,어린이공원,37.528747,126.7482088787,3191.1,계양구,어린이공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상",같은 공원명 내 시설유형 상이
28200-00114,별빛공원,어린이공원,37.39389107,126.7288965,1591.0,남동구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만",같은 공원명 내 시설유형 상이
28200-00103,신촌공원,어린이공원,37.44741294,126.7323582,818.0,남동구,어린이공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 시설유형 상이
28185-00015,양지공원,근린공원,37.41535286,126.678406,10253.6,연수구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 시설유형 상이
28185-00010,연일공원,어린이공원,37.41944263,126.6916193,5037.7,연수구,어린이공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상",같은 공원명 내 시설유형 상이
28185-00005,승기공원,어린이공원,37.4197522,126.6984594,7545.8,연수구,어린이공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상",같은 공원명 내 시설유형 상이
28185-00031,중앙공원,어린이공원,37.428725,126.6681989,1500.1,연수구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만",같은 공원명 내 시설유형 상이
28200-00026,만수공원,근린공원,37.457907865,126.7363877533,12528.0,남동구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 시설유형 상이
28200-00022,양지공원,어린이공원,37.4665085,126.7062617,1280.0,남동구,어린이공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 시설유형 상이
28200-00014,만수공원,어린이공원,37.45354611,126.7276999,1658.0,남동구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만",같은 공원명 내 시설유형 상이
28200-00004,산밑말근린공원,근린공원,37.4661047,126.7113059,29545.0,남동구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 시설유형 상이
28200-00029,승기공원,근린공원,37.4232077,126.704707,22623.0,남동구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 시설유형 상이
28200-00075,오봉공원,어린이공원,37.41844881,126.7315058,1429.0,남동구,어린이공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 시설유형 상이
28200-00071,방죽공원,어린이공원,37.40804471,126.7384684,1607.0,남동구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만",같은 공원명 내 시설유형 상이
28200-00062,오봉공원,근린공원,37.41844881,126.7315058,10256.0,남동구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 시설유형 상이
28185-00090,별빛공원,근린공원,37.42901005,126.6985718,34518.0,연수구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 시설유형 상이
