학교ID,학교명,위도,경도,소재지도로명주소,학교급구분,설립형태,데이터기준일자,source_url,id_method,current_students,capacity,coordinate_status,coordinate_source,gu
B000012246,인천해송고등학교,37.38256719,126.6458688,인천광역시 연수구 해송로 20,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,연수구
B000012247,신송고등학교,37.3920074,126.6596644,인천광역시 연수구 신송로6번길 56,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,연수구
B000012248,송도고등학교,37.42861209,126.6437726,인천광역시 연수구 독배로 91,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,연수구
B000012249,인천대건고등학교,37.4019879,126.6651466,인천광역시 연수구 능허대로 437,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,연수구
B000012250,인천남고등학교,37.46791494,126.6965526,인천광역시 남동구 석정로551번길 41,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,남동구
B000012251,인천만수고등학교,37.44709898,126.7422697,인천광역시 남동구 장승로 91,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,남동구
B000012253,인천송천고등학교,37.3958707,126.7216321,인천광역시 남동구 앵고개로815번길 59,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,남동구
B000012254,인천남동고등학교,37.4060269,126.7215164,인천광역시 남동구 은봉로 283,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,남동구
B000012255,석정여자고등학교,37.46866507,126.694192,인천광역시 남동구 방축로469번길 27,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,남동구
B000012256,인천고잔고등학교,37.38914932,126.7222573,인천광역시 남동구 에코중앙로 117,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,남동구
B000012257,인천논현고등학교,37.40402323,126.727139,인천광역시 남동구 청능대로611번길 54,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,남동구
B000012258,인제고등학교,37.46139701,126.7124654,인천광역시 남동구 석산로197번길 19,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,남동구
B000012259,신명여자고등학교,37.46923037,126.7130184,인천광역시 남동구 용천로205번길 42,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,남동구
B000012260,숭덕여자고등학교,37.46428211,126.7339171,인천광역시 남동구 만수로73번길 20-23,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,남동구
