학교ID,학교명,method,offset_m,reach_nodes,reach_edge_len_m,n_parts,v3_area_m2,v3_ratio,v2_osmnx_area_m2,valhalla_area_m2,v3_vs_v2,v3_vs_valhalla
B000012293,인천원당고등학교,exact_edge_trim_v3,34.4,9,1055.1,1,60459,0.077,,,,
B000008885,강화중학교,exact_edge_trim_v3,11.6,61,5582.5,1,289345,0.3684,,,,
B000012276,명신여자고등학교,exact_edge_trim_v3,33.0,14,2508.6,1,162624,0.2071,,,,
B000012304,대청고등학교,exact_edge_trim_v3,32.4,4,1331.9,1,94469,0.1203,,,,
B000025683,인천하늘중학교,exact_edge_trim_v3,64.9,51,4989.5,1,218027,0.2776,,,,
B000011435,인천미래생활고등학교,exact_edge_trim_v3,24.2,20,2662.7,1,175464,0.2234,,,,
B000025767,인천단봉중학교,exact_edge_trim_v3,53.6,31,4830.1,1,256805,0.327,,,,
B000011421,인천재능고등학교,exact_edge_trim_v3,48.2,38,3466.5,1,138815,0.1767,,,,
B000025230,박문중학교,exact_edge_trim_v3,35.7,56,7666.4,1,214333,0.2729,,,,
B000012298,교동고등학교,exact_edge_trim_v3,53.6,3,1419.6,1,97933,0.1247,,,,
B000011419,영종국제물류고등학교,exact_edge_trim_v3,65.9,15,2155.4,1,125288,0.1595,,,,
B000012300,덕신고등학교,exact_edge_trim_v3,41.8,17,1686.9,1,101233,0.1289,,,,
B000008851,인천계수중학교,exact_edge_trim_v3,45.9,43,5618.7,1,210958,0.2686,,,,
B000008862,인천초은중학교,exact_edge_trim_v3,12.4,187,9621.7,1,225503,0.2871,,,,
B000025229,박문여자고등학교,exact_edge_trim_v3,45.2,197,13912.0,1,394442,0.5022,,,,
B000030812,인천은송중학교,exact_edge_trim_v3,122.4,12,2203.7,1,100913,0.1285,,,,
B000008878,마전중학교,exact_edge_trim_v3,17.0,87,5734.2,1,246497,0.3138,,,,
B000008876,인천당하중학교,exact_edge_trim_v3,39.7,23,2860.2,1,212277,0.2703,,,,
B000025205,도림고등학교,exact_edge_trim_v3,77.7,14,2412.5,1,135777,0.1729,,,,
B000012284,서운고등학교,exact_edge_trim_v3,8.1,25,4296.2,1,268671,0.3421,,,,
B000011441,한국주얼리고등학교,exact_edge_trim_v3,48.6,19,2962.4,1,174239,0.2218,,,,
B000012287,인천초은고등학교,exact_edge_trim_v3,56.2,212,13431.2,1,362301,0.4613,,,,
B000008889,서도중학교,exact_edge_trim_v3,186.6,0,626.9,1,47332,0.0603,,,,
B000008891,승영중학교,exact_edge_trim_v3,75.0,14,2295.2,1,140138,0.1784,,,,
B000012299,서도고등학교,exact_edge_trim_v3,186.0,0,627.9,1,47466,0.0604,,,,
B000025231,인천예송중학교,exact_edge_trim_v3,6.6,27,4232.0,1,236451,0.3011,,,,
B000012303,연평고등학교,exact_edge_trim_v3,3.7,53,3622.9,1,181964,0.2317,,,,
B000011437,인평자동차고등학교,exact_edge_trim_v3,31.7,37,4101.3,1,245141,0.3121,,,,
B000008783,연평중학교,exact_edge_trim_v3,3.5,53,3639.5,1,182541,0.2324,,,,
B000012285,안남고등학교,exact_edge_trim_v3,51.0,75,6213.6,1,291229,0.3708,,,,
B000008869,동인천여자중학교,exact_edge_trim_v3,23.3,19,2135.8,1,126781,0.1614,,,,
B000012247,신송고등학교,exact_edge_trim_v3,67.0,12,1695.8,1,101770,0.1296,,,,
B000027506,인천중산중학교,exact_edge_trim_v3,55.0,26,3938.1,1,199282,0.2537,,,,
B000012265,부개여자고등학교,exact_edge_trim_v3,57.8,31,2483.1,1,133694,0.1702,,,,
B000025680,인천중산고등학교,exact_edge_trim_v3,68.4,26,3721.8,1,188988,0.2406,,,,
B000011433,인천금융고등학교,exact_edge_trim_v3,32.7,81,6623.6,1,295586,0.3764,,,,
B000025245,인천미송중학교,exact_edge_trim_v3,70.0,25,2829.0,1,139717,0.1779,,,,
