학교ID,학교명,method,offset_m,reach_nodes,reach_edge_len_m,n_parts,v3_area_m2,v3_ratio,v2_osmnx_area_m2,valhalla_area_m2,v3_vs_v2,v3_vs_valhalla
B000008804,부광중학교,exact_edge_trim_v3,17.8,111,6472.5,1,245751,0.3129,,,,
B000008874,검단중학교,exact_edge_trim_v3,14.8,82,10099.4,1,452735,0.5764,,,,
B000026475,인천아라중학교,exact_edge_trim_v3,58.8,7,1285.0,1,91184,0.1161,,,,
B000012239,인항고등학교,exact_edge_trim_v3,50.4,12,1554.6,1,95870,0.1221,,,,
B000012273,인천영선고등학교,exact_edge_trim_v3,32.9,15,2094.3,1,86184,0.1097,,,,
B000011431,인천뷰티예술고등학교,exact_edge_trim_v3,23.6,96,5900.5,1,204005,0.2597,,,,
B000012262,부평고등학교,exact_edge_trim_v3,24.0,152,12688.1,1,482718,0.6146,,,,
B000012244,연수여자고등학교,exact_edge_trim_v3,32.5,114,8567.5,1,371886,0.4735,,,,
B000008853,임학중학교,exact_edge_trim_v3,50.1,126,8934.1,1,377095,0.4801,,,,
B000012286,인천청라고등학교,exact_edge_trim_v3,38.3,154,11425.3,1,327480,0.417,,,,
B000025234,인천과학예술영재학교,exact_edge_trim_v3,20.1,39,5270.4,1,253478,0.3227,,,,
B000012277,계양고등학교,exact_edge_trim_v3,29.5,51,4477.4,1,173466,0.2209,,,,
B000011425,인천소방고등학교,exact_edge_trim_v3,10.8,64,3950.1,1,172402,0.2195,,,,
B000012290,가림고등학교,exact_edge_trim_v3,40.4,137,10776.1,1,359420,0.4576,,,,
B000008772,관교중학교,exact_edge_trim_v3,24.4,86,9101.1,1,353113,0.4496,,,,
B000013522,인천하늘고등학교,exact_edge_trim_v3,64.8,28,2874.7,1,122436,0.1559,,,,
B000025768,인천마전고등학교,exact_edge_trim_v3,52.8,28,4680.9,1,243493,0.31,,,,
B000012236,인천고등학교,exact_edge_trim_v3,18.7,64,4955.7,1,208466,0.2654,,,,
B000012263,부광고등학교,exact_edge_trim_v3,59.8,41,4232.1,1,223560,0.2846,,,,
B000008810,인천여자중학교,exact_edge_trim_v3,52.6,82,5223.1,1,212402,0.2704,,,,
B000025223,인천현송중학교,exact_edge_trim_v3,60.5,20,3018.7,1,108610,0.1383,,,,
B000008875,불로중학교,exact_edge_trim_v3,14.6,5,1621.6,1,114525,0.1458,,,,
B000008883,심도중학교,exact_edge_trim_v3,66.0,12,1795.3,1,111887,0.1425,,,,
B000008795,부원여자중학교,exact_edge_trim_v3,20.9,40,4532.4,1,246949,0.3144,,,,
B000025679,인천운남고등학교,exact_edge_trim_v3,60.4,79,7969.4,1,282627,0.3599,,,,
B000008813,연수중학교,exact_edge_trim_v3,51.3,48,3053.6,1,144317,0.1838,,,,
B000012253,인천송천고등학교,exact_edge_trim_v3,49.1,36,3354.3,1,177194,0.2256,,,,
B000012282,작전여자고등학교,exact_edge_trim_v3,48.6,75,7406.8,1,275983,0.3514,,,,
B000008801,갈산중학교,exact_edge_trim_v3,12.2,240,15592.8,1,474499,0.6042,,,,
B000008765,광성중학교,exact_edge_trim_v3,65.5,80,7530.5,1,304774,0.3881,,,,
B000008785,영흥중학교,exact_edge_trim_v3,27.6,42,2416.6,1,127780,0.1627,,,,
B000025201,만월중학교,exact_edge_trim_v3,69.4,28,3193.3,1,163462,0.2081,,,,
B000008839,인천성리중학교,exact_edge_trim_v3,64.4,67,5528.4,1,251501,0.3202,,,,
B000008775,선화여자중학교,exact_edge_trim_v3,10.8,64,3950.1,1,172402,0.2195,,,,
B000012296,강화고등학교,exact_edge_trim_v3,64.7,101,6367.9,1,231439,0.2947,,,,
B000008856,계양중학교,exact_edge_trim_v3,13.7,18,2509.4,1,136147,0.1733,,,,
B000008788,부평동중학교,exact_edge_trim_v3,83.3,27,2217.7,1,120418,0.1533,,,,
B000008771,선인중학교,exact_edge_trim_v3,10.8,64,3950.1,1,172402,0.2195,,,,
B000008867,인천가좌여자중학교,exact_edge_trim_v3,24.6,45,6245.2,1,298774,0.3804,,,,
B000012232,동산고등학교,exact_edge_trim_v3,18.7,32,3119.4,1,113022,0.1439,,,,
B000013521,인천공항고등학교,exact_edge_trim_v3,13.6,61,5052.7,1,220760,0.2811,,,,
B000022835,인천해원고등학교,exact_edge_trim_v3,37.2,246,13471.8,1,343298,0.4371,,,,
B000008880,서곶중학교,exact_edge_trim_v3,25.2,77,7880.1,1,342243,0.4358,,,,
B000012255,석정여자고등학교,exact_edge_trim_v3,22.8,62,7226.1,1,374162,0.4764,,,,
B000012237,학익여자고등학교,exact_edge_trim_v3,32.6,246,14373.0,1,452057,0.5756,,,,
B000011828,인천과학고등학교,exact_edge_trim_v3,23.1,25,2393.4,1,124838,0.1589,,,,
B000022837,인천체육고등학교,exact_edge_trim_v3,113.6,5,942.8,1,63785,0.0812,,,,
B000011833,미추홀외국어고등학교,exact_edge_trim_v3,41.7,51,5462.1,1,264931,0.3373,,,,
B000008761,영종중학교,exact_edge_trim_v3,2.1,118,10327.7,1,313111,0.3987,,,,
B000008792,산곡남중학교,exact_edge_trim_v3,17.5,44,3685.9,1,162318,0.2067,,,,
B000008888,교동중학교,exact_edge_trim_v3,53.6,3,1419.6,1,97933,0.1247,,,,
B000008848,북인천여자중학교,exact_edge_trim_v3,56.9,54,6297.1,1,357478,0.4552,,,,
B000008769,인천재능중학교,exact_edge_trim_v3,48.2,38,3466.5,1,138815,0.1767,,,,
B000011442,강남영상미디어고등학교,exact_edge_trim_v3,13.1,15,1835.9,1,113139,0.1441,,,,
B000025678,인천영종고등학교,exact_edge_trim_v3,19.2,19,3006.1,1,146803,0.1869,,,,
B000008887,강서중학교,exact_edge_trim_v3,117.7,12,1389.1,1,82090,0.1045,,,,
B000012269,인천진산과학고등학교,exact_edge_trim_v3,55.0,26,2539.3,1,164232,0.2091,,,,
B000008886,강화여자중학교,exact_edge_trim_v3,39.5,37,3477.2,1,201801,0.2569,,,,
B000012261,문일여자고등학교,exact_edge_trim_v3,55.5,67,7416.7,1,324675,0.4134,,,,
B000008879,인천가현중학교,exact_edge_trim_v3,42.9,27,3467.7,1,203198,0.2587,,,,
B000012301,한국글로벌셰프고등학교,exact_edge_trim_v3,76.5,2,953.4,1,68103,0.0867,,,,
B000008877,원당중학교,exact_edge_trim_v3,74.3,25,3186.2,1,150536,0.1917,,,,
B000008784,대청중학교,exact_edge_trim_v3,32.4,4,1331.9,1,94469,0.1203,,,,
