학교ID,학교명,year,students,special_class_students,source_url,reference_period
KLOCAL-cc7903a205c47f13,갑룡초등학교병설유치원,2026,32,4,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-dd6dbb2a34c3a048,강화유치원,2026,30,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-c17af5dbcc9e77c7,교동초등학교병설유치원,2026,6,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-3c356c0a84207416,내가초등학교병설유치원,2026,10,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-f32b3f18c3c6667b,대월초등학교병설유치원,2026,5,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-51c6dc17a37cef2b,마니산유치원,2026,27,6,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-7463c2756c15c1d3,명신초등학교병설유치원,2026,2,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-a286fe75086d2d64,삼산초등학교병설유치원,2026,1,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-5af4890425fbff3c,선원초등학교병설유치원,2026,25,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-08917b6afd819029,송해초등학교병설유치원,2026,4,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-54a88136cf70c698,잠두유치원,2026,40,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-674ef65b6f0d148e,코끼리유치원,2026,75,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-67f73dfaccf6c54c,하점초등학교병설유치원,2026,8,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-edc78a00d15f9048,합일초등학교병설유치원,2026,10,3,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-2139f45193aa0f61,해명초등학교병설유치원,2026,2,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-eb061546857b8dda,건영유치원,2026,172,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-974da5ec0dd22c2e,국현유치원,2026,159,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-5d9f2a6b9a4b2843,그림나라유치원,2026,88,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-41f63dbead90187b,금호유치원,2026,142,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-58a55d858149cfe9,노벨유치원,2026,64,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-0cd7ba2a12988285,다솜유치원,2026,46,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-11084f843babf1c9,대청초등학교병설유치원,2026,3,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-672f25c7875a43e6,덕적초등학교병설유치원,2026,2,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-aaf9709671edf7be,도담유치원,2026,29,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-10421b7c8f5899de,동원유치원,2026,166,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-0bbc0fac855a7b3e,뒤나미스유치원,2026,370,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-590c99bb86999b08,무지개유치원,2026,220,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-b2ef58c299ec5904,미주유치원,2026,188,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-85120f2449c7bce0,밀알유치원,2026,197,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-026d832c691d3ca0,박문유치원,2026,140,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-f53bd21b5a623669,반디유치원,2026,149,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-82eb89aae72bf48f,백령성모유치원,2026,12,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-449fffc16f64b212,북포초등학교병설유치원,2026,5,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-33bfc1608850fe4f,산새소리유치원,2026,7,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-95018410bf5fd937,성바오로유치원,2026,123,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-70a3bf4262c4bc52,세종유치원,2026,106,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-77ee1fd2c433efee,소명유치원,2026,163,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-50565bd642260910,솔빛유치원,2026,104,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-fe0db0fed48025b0,솔샘유치원,2026,142,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-7e04553d125db319,송현유치원,2026,80,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-7f4baf8d3ec9cb63,숭의유치원,2026,88,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-1dcb5b73dd15046b,연평초등학교병설유치원,2026,7,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-f57b640f7d2b17de,연흥유치원,2026,83,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-a7594966a338574e,영종유치원,2026,175,12,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-45fd24312e405c2b,영흥초등학교병설유치원,2026,4,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-00df819b46080269,예원유치원,2026,41,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-66a6f76a70617813,용화유치원,2026,84,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-0fea88de34bd253a,유원유치원,2026,83,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
