학교ID,학교명,current_students_2025,forecast_2029,forecast_2031,predicted_2029,predicted_2031,selected_model,model_version,validation_scheme
B000003107,인천효성동초등학교,454,436,560,436,560,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003166,인천마전초등학교,633,412,312,412,312,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003105,인천서창초등학교,735,361,175,361,175,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002979,인천문학초등학교,551,378,297,378,297,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003030,인천부평남초등학교,768,620,556,620,556,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003005,인천용현남초등학교자월분교장,6,1,0,1,0,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003019,인천부광초등학교,350,268,224,268,224,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003040,인천동암초등학교,295,211,171,211,171,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002984,인천승학초등학교,341,195,142,195,142,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003017,인천부내초등학교,555,376,294,376,294,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002963,인천만석초등학교,263,116,53,116,53,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003143,인천신석초등학교,277,140,90,140,90,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003100,인천조동초등학교,387,223,145,223,145,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000025756,인천청호초등학교,433,584,571,584,571,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000022832,인천한빛초등학교,923,662,543,662,543,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003106,경인교육대학교부설초등학교,560,510,485,510,485,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003020,인천일신초등학교,278,167,107,167,107,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003046,인천굴포초등학교,749,529,429,529,429,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003042,인천마장초등학교,543,393,338,393,338,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
