도서관명,유형,구,위도,경도,장서수,열람좌석수,평일운영,휴관일,기준일,좌표출처
장사래어린이도서관,어린이,미추홀구,37.4627916,126.6473658,21512,50,10:00~18:00,매주월요일+법정공휴일,2024-10-31,원본
제물포도서관,공공,미추홀구,37.46412824,126.6560197,19907,35,10:00~18:00,매주월요일+법정공휴일,2024-10-31,원본
주안도서관,공공,미추홀구,37.4555000934994,126.692878809393,247131,835,06:00~22:00,매주목요일+법정공휴일,2026-02-09,지오코딩
학나래도서관,공공,미추홀구,37.44658054,126.6674754,54668,115,10:00~22:00,매주월요일+법정공휴일,2024-10-31,원본
한우리어린이도서관,어린이,미추홀구,37.4637642,126.6765574,23044,18,10:00~18:00,매주월요일+법정공휴일,2024-10-31,원본
갈산도서관,공공,부평구,37.517563,126.7271369,30708,92,09:00~18:00,일+월+법정공휴일,2025-10-31,원본
갈산밀알도서관,작은,부평구,37.51074117,126.7257141,9459,30,10:00~16:00,토+일+법정공휴일,2025-10-31,원본
글마루도서관,작은,부평구,37.494259,126.7200663,13041,60,10:00~18:00,토+일+법정공휴일,2025-10-31,원본
꿈꾸는작은도서관,작은,부평구,37.474552,126.702253,1005,24,14:00~20:00,일+법정공휴일,2025-10-31,원본
꿈나무작은도서관,작은,부평구,37.50174046,126.711437,11034,42,10:00~18:00,토+일+법정공휴일,2025-10-31,원본
꿈땅도서관,작은,부평구,37.48684648,126.7303786,12482,70,09:30~17:30,일+월+법정공휴일,2025-10-31,원본
꿈쟁이어린이도서관,작은,부평구,37.499561,126.715083,6500,26,09:00~17:00,일+월+법정공휴일,2025-10-31,원본
노동자의 작은도서관 사람,작은,부평구,37.469743,126.707685,5293,17,10:00~22:00,일+법정공휴일,2025-10-31,원본
늘푸른도서관,작은,부평구,37.490433,126.726575,2508,30,13:00~18:00,일+월+법정공휴일,2025-10-31,원본
동그라미도서관,작은,부평구,37.47967346,126.7029085,2000,40,15:00~18:00,토+일+법정공휴일,2025-10-31,원본
동수작은도서관,작은,부평구,37.4880013,126.724491,10340,33,10:00~19:00,토+일+법정공휴일,2025-10-31,원본
로뎀나무도서관,작은,부평구,37.52006146,126.746528,9639,20,10:00~18:00,토+일+법정공휴일,2025-10-31,원본
마을도서관,작은,부평구,37.51992711,126.748044,3000,30,09:00~18:00,토+일+법정공휴일,2025-10-31,원본
민들레작은도서관,작은,부평구,37.50525856,126.738012,11041,30,10:00~18:00,토+일+법정공휴일,2025-10-31,원본
부개도서관,공공,부평구,37.491051,126.7395091,77534,227,09:00~22:00,일+월+법정공휴일,2025-10-31,원본
부개어린이도서관,공공,부평구,37.48552079,126.737024,24895,70,09:00~18:00,일+월+법정공휴일,2025-10-31,원본
부평기적의도서관,공공,부평구,37.50344695,126.7401943,55857,120,09:00~18:00,일+월+법정공휴일,2025-10-31,원본
부평도서관,공공,부평구,37.4849964881751,126.704586115378,198134,1051,06:00~22:00,매주목요일+법정공휴일,2026-02-09,지오코딩
부평마을작은도서관,작은,부평구,37.50156,126.7258697892,1476,30,06:00~17:00,일+법정공휴일,2025-10-31,원본
부평현대1단지아파트작은도서관,작은,부평구,37.490572,126.7064071,1291,60,09:00~18:00,일+법정공휴일,2025-10-31,원본
북구도서관,공공,부평구,37.50658091,126.7236393,308092,500,09:00~20:00,매주 월요일,2024-08-09,원본
사랑채작은도서관,작은,부평구,37.5010106,126.7258266,6300,20,16:00~20:00,토+일+법정공휴일,2025-10-31,원본
산곡글향기도서관,작은,부평구,37.50504,126.6986,8720,16,10:00~18:00,일+월+법정공휴일,2025-10-31,원본
삼산도서관,공공,부평구,37.522166,126.743035,81156,204,09:00~22:00,일+월+법정공휴일,2025-10-31,원본
상동무지개작은도서관,작은,부평구,37.516550278,126.7588701907,1250,30,10:00~18:00,토+일+법정공휴일,2025-10-31,원본
샘터도서관,작은,부평구,37.473805,126.707884,7687,9,10:00~18:00,토+일+법정공휴일,2025-10-31,원본
선일비전영어작은도서관,작은,부평구,37.510818,126.706111,3600,16,13:00~18:00,토+일+법정공휴일,2025-10-31,원본
신나는여성주의도서관 랄라,작은,부평구,37.522677,126.7385122,8273,80,10:00~18:00,토+일+월+법정공휴일,2025-10-31,원본
신트리도서관,공공,부평구,37.5065901002623,126.723638107662,297481,1220,06:00~22:00,매주월요일+법정공휴일,2026-02-09,지오코딩
엘림작은도서관,작은,부평구,37.48154749,126.7411791,7417,40,13:00~17:00,일+월+수+목+금+법정공휴일,2025-10-31,원본
여울도서관,작은,부평구,37.51219785,126.7429963,1000,10,09:00~18:00,토+일+법정공휴일,2025-10-31,원본
열방작은도서관,작은,부평구,37.49258443,126.7409216,9078,10,13:00~18:00,일+법정공휴일,2025-10-31,원본
옹달샘도서관,작은,부평구,37.47772017,126.7496127,10025,45,14:00~18:00,토+일+법정공휴일,2025-10-31,원본
인천광역시교육청 인천광역시교육청부평도서관,공공,부평구,37.48499649,126.7045861,192571,574,06:00~20:00,매주 월요일+국가지정공휴일,2025-08-19,원본
인천광역시교육청신트리도서관,공공,부평구,37.50658091,126.7236393,310119,500,09:00~20:00,매주 월요일,2025-08-11,원본
조이도서관,작은,부평구,37.51326245,126.705691,2508,20,09:00~18:00,일+법정공휴일,2025-10-31,원본
지혜로작은도서관,작은,부평구,37.506052,126.7039764,2639,15,09:00~18:00,토+일+법정공휴일,2025-10-31,원본
청개구리어린이도서관,작은,부평구,37.49579548,126.7048289,8979,50,10:00~18:00,토+일+월+법정공휴일,2025-10-31,원본
청소년인문학도서관 두잉,작은,부평구,37.48207762,126.7088104,5420,50,13:00~21:00,월+일+법정공휴일,2025-10-31,원본
