도서관명,유형,구,위도,경도,장서수,열람좌석수,평일운영,휴관일,기준일,좌표출처
서인천월드메르디앙 문고,작은,서구,37.51162305,126.6687306,3994,12,16:00~19:00,월+화+수+금+토+일+법정공휴일,2025-11-14,원본
석남도서관,공공,서구,37.511809,126.678265,61945,198,09:00~22:00,월+국가지정공휴일,2025-11-14,원본
선한사랑 어린이도서관,작은,서구,37.56515844,126.6735443,1304,33,10:00~17:00,일+법정공휴일,2025-11-14,원본
소담터 불로작은도서관,작은,서구,37.6169613537589,126.68230842183,3251,45,09:00~18:00,월+법정공휴일,2025-11-14,지오코딩
솔라북 도서관,작은,서구,37.60933965,126.6693411,4087,30,10:00~18:00,토+일+법정공휴일,2025-11-14,원본
수정 작은도서관,작은,서구,37.61396855,126.6790437,6573,12,09:00~17:00,토+일+법정공휴일,2025-11-14,원본
신석도서관,공공,서구,37.511704,126.6681209,69744,147,09:00~22:00,월+국가지정공휴일,2025-11-14,원본
신현어린이도서관,작은,서구,37.52221027,126.6632878,1556,30,18:00~20:00,월~목+법정공휴일,2025-11-14,원본
심곡도서관,공공,서구,37.5424302,126.6732215,77649,237,09:00~22:00,월+국가지정공휴일,2025-11-14,원본
아라꿈 도서관,작은,서구,37.57093944,126.6730774,1350,26,09:00~18:00,법정공휴일,2025-11-14,원본
아라이음 작은도서관,작은,서구,37.58850941,126.7170892,1036,36,10:00~18:00,토+일+법정공휴일,2025-11-14,원본
엑슬루타워 북카페,작은,서구,37.53080502,126.6513493,5816,50,13:00~19:00,월+법정공휴일,2025-11-14,원본
엘림 작은도서관,작은,서구,37.48890469,126.6819914,1758,22,10:00~18:00,토+일+법정공휴일,2025-11-14,원본
연희주민 문고,작은,서구,37.54103678,126.6721551,4500,20,11:00~17:00,토+일+법정공휴일,2025-11-14,원본
원당 작은 영어도서관,작은,서구,37.59304899,126.6949082,10000,35,10:30~18:30,일+법정공휴일,2025-11-14,원본
