관리번호,공원명,공원구분,위도,경도,공원면적,gu,시설유형,park_function_class,park_function_label,park_function_basis
28185-00048,송도  13호 어린이공원,어린이공원,37.39464032,126.6425438,1499.8,연수구,어린이공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음"
28185-00047,송도  12호 어린이공원,어린이공원,37.39802178,126.6376099,1500.1,연수구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만"
28185-00045,옥련공원,어린이공원,37.42510112,126.653811,1425.1,연수구,어린이공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음"
28110-00003,박석공원,근린공원,37.49473516,126.5637807,352000.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28110-00002,은골공원,근린공원,37.4893448282,126.5012194,392000.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28110-00001,씨사이드파크,근린공원,37.481753,126.5658118,1774603.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28245-00015,이촌공원,근린공원,37.536246,126.712058,22810.0,계양구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28245-00014,동양공원,근린공원,37.561536,126.75937,16261.4,계양구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28245-00013,된밭공원,근린공원,37.533039,126.728486,11655.0,계양구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28245-00012,서운공원,근린공원,37.527778,126.740492,12822.4,계양구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28245-00011,까치공원,근린공원,37.533006,126.737729,17043.9,계양구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28245-00010,계양교통공원,근린공원,37.537198,126.741863,21091.5,계양구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28245-00009,오조산공원,근린공원,37.540075,126.738621,18314.4,계양구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28245-00005,하야공원,소공원,37.583303,126.78108,359.3,계양구,소공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음"
28245-00004,살나리공원,소공원,37.537913,126.745137,669.0,계양구,소공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음"
28245-00003,용종5공원,소공원,37.5429066687,126.7428221178,360.3,계양구,소공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음"
28245-00002,동양공원,소공원,37.561633,126.757908,837.6,계양구,소공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음"
