학교ID,학교명,nearest_park_name,nearest_park_dist_m,nearest_park_lat,nearest_park_lon
B000003151,인천능내초등학교,검단2지구 2호근린공원_37.603_126.665,204.8,37.60303311,126.6647548
B000003152,인천검단초등학교,여리공원,90.0,37.61211212,126.6636616
B000003153,인천완정초등학교,능내근린공원,453.0,37.60135433,126.6668968
B000003154,인천불로초등학교,불로지구5호 어린이공원_37.612_126.689,65.0,37.61215454,126.689229
B000003155,인천목향초등학교,불로5호소공원_37.613_126.687,969.1,37.61315197,126.6871272
B000003156,인천왕길초등학교,왕길새싹공원_37.602_126.651,0.0,37.60249879,126.651206
B000003157,인천단봉초등학교,봉화공원_37.599_126.637,106.1,37.59873298,126.6366252
B000003158,인천원당초등학교,원당공원,320.0,,
B000003159,인천발산초등학교,원당지구 5호 어린이공원_37.591_126.701,203.0,37.59058589,126.7008355
B000003160,인천창신초등학교,원당지구 4호 어린이공원_37.599_126.698,290.8,37.59931561,126.6984068
B000003161,인천금곡초등학교,왕길새싹공원,325.0,37.60249879,126.651206
B000003162,인천가석초등학교,서인공원_37.522_126.686,1323.0,37.52218518,126.6860632
B000003163,인천가좌초등학교,여우재공원(이름변경)_37.489_126.684,192.3,37.48859525,126.6836575
B000003164,인천가정초등학교,장고개근린공원_37.495_126.691,663.1,37.49474058,126.6911607
B000003165,인천당하초등학교,당하지구3호 어린이공원_37.591_126.679,169.4,37.59091115,126.6785574
B000003166,인천마전초등학교,우버니공원,384.0,37.5958847,126.6732323
B000003167,인천석남서초등학교,신촌공원_37.508_126.670,863.9,37.50775539,126.6702832
B000003168,인천가현초등학교,가정공원_37.521_126.674,669.2,37.52094011,126.6742692
B000003169,인천신현초등학교,원신공원_37.516_126.663,602.1,37.51562511,126.6632612
B000003170,인천서곶초등학교,대평공원,45.0,37.5508632,126.6696767
B000003171,인천검암초등학교,상동공원_37.566_126.678,150.6,37.56623904,126.6779228
B000003172,인천은지초등학교,허암공원_37.565_126.684,316.8,37.5650713,126.6836893
B000003173,길상초등학교,백석공원(마)_37.590_126.600,4242.4,37.58971146,126.5997688
B000003174,양도초등학교,백석공원(마)_37.590_126.600,4242.4,37.58971146,126.5997688
B000003175,조산초등학교,백석공원(마)_37.590_126.600,4242.4,37.58971146,126.5997688
B000003176,화도초등학교,미단시티 13호_37.530_126.502,385.5,37.530155785,126.5024906657
B000003177,대월초등학교,불로지구1호 어린이공원_37.614_126.682,4687.0,37.61423698,126.6820637
B000003178,갑룡초등학교,갑룡공원,285.0,,
B000003179,강화초등학교,남산근린공원_37.742_126.480,0.0,37.74198178,126.4804194
B000003180,합일초등학교,남산근린공원_37.742_126.480,0.0,37.74198178,126.4804194
B000003181,송해초등학교,남산근린공원_37.742_126.480,0.0,37.74198178,126.4804194
B000003182,선원초등학교,백석공원(마)_37.590_126.600,3971.9,37.58971146,126.5997688
B000003183,불은초등학교,백석공원(마)_37.590_126.600,4242.4,37.58971146,126.5997688
B000003184,삼성초등학교,백석공원(마)_37.590_126.600,4242.4,37.58971146,126.5997688
B000003185,하점초등학교,백석공원(마)_37.590_126.600,4242.4,37.58971146,126.5997688
B000003186,명신초등학교,백석공원(마)_37.590_126.600,4242.4,37.58971146,126.5997688
B000003187,양사초등학교,남산근린공원_37.742_126.480,0.0,37.74198178,126.4804194
B000003188,내가초등학교,백석공원(마)_37.590_126.600,4242.4,37.58971146,126.5997688
B000003189,해명초등학교,미단시티 13호_37.530_126.502,385.5,37.530155785,126.5024906657
B000003190,삼산초등학교,창포공원_37.492_126.484,10012.9,37.4923136,126.4844559
B000003192,교동초등학교,백석공원(마)_37.590_126.600,4242.4,37.58971146,126.5997688
B000003194,서도초등학교,창포공원_37.492_126.484,16196.8,37.4923136,126.4844559
B000022832,인천한빛초등학교,누리공원_37.422_126.741,116.7,37.42249036,126.7414277
B000022834,인천청람초등학교,물병자리공원_37.538_126.643,305.4,37.53836207,126.6427153
B000022839,인천청일초등학교,포리공원_37.528_126.643,596.1,37.52767778,126.6428138
B000024924,인천하늘초등학교,박석공원,124.0,,
B000025189,인천송명초등학교,마음공원,95.0,,
B000025193,인천만월초등학교,찬우물공원_37.443_126.718,310.1,37.4425783,126.7175748
B000025196,인천장서초등학교,흰여울공원_37.430_126.744,0.0,37.42986416,126.744066
B000025202,인천장아초등학교,장아산공원_37.425_126.753,0.0,37.42468786,126.7533244
B000025206,인천새봄초등학교,새아침공원_37.398_126.654,1812.1,37.39798134,126.6536494
