학교ID,학교명,gu,iso_child_total,target_2029,target_2031,predicted_2029,predicted_2031,cohort_change_2029_prophet,cohort_change_2031_prophet,is_new_school
B000003077,상인천초등학교,남동구,843,396.84313542030725,216.76745119809075,396.8225,216.50926,0.4707510503206492,0.2571381390250187,0
B000003078,인천석정초등학교,남동구,643,302.6929253561774,165.33982339308702,302.53925,165.34091,0.4707510503206492,0.2571381390250187,0
B000003079,인천만수북초등학교,남동구,571,268.79884973309066,146.82587738328567,269.11496,147.04652,0.4707510503206492,0.2571381390250187,0
B000003080,인천동부초등학교,남동구,1089,512.6478937991869,280.02343339824534,512.0705,280.03094,0.4707510503206492,0.2571381390250187,0
B000003081,인천인수초등학교,남동구,292,137.45930669362957,75.08433659530546,138.29889,75.503044,0.4707510503206492,0.2571381390250187,0
B000003082,인천만수초등학교,남동구,317,149.2280829516458,81.51279007093093,148.88179,81.398445,0.4707510503206492,0.2571381390250187,0
B000003083,인천도림초등학교,남동구,60,28.245063019238952,15.428288341501123,28.57942,15.517511,0.4707510503206492,0.2571381390250187,0
B000003084,인천은봉초등학교,남동구,488,229.7265125564768,125.48341184420913,229.6616,125.2867,0.4707510503206492,0.2571381390250187,0
B000003085,인천장도초등학교,남동구,286,134.63480039170565,73.54150776115534,134.75389,73.67876,0.4707510503206492,0.2571381390250187,0
B000003086,인천동방초등학교,남동구,423,199.1276942856346,108.7694328075829,198.94145,108.88516,0.4707510503206492,0.2571381390250187,0
B000003087,인천원동초등학교,남동구,198,93.20870796348854,50.913351526953704,93.259224,50.953644,0.4707510503206492,0.2571381390250187,0
B000003088,인천사리울초등학교,남동구,334,157.23085080709683,85.88413843435625,157.19362,85.84625,0.4707510503206492,0.2571381390250187,0
B000003089,인천고잔초등학교,남동구,325,152.99409135421098,83.56989518313108,152.97798,83.59765,0.4707510503206492,0.2571381390250187,0
B000003090,인천약산초등학교,남동구,553,260.325330827319,142.19739088083534,260.04086,142.09506,0.4707510503206492,0.2571381390250187,0
B000003091,인천주원초등학교,남동구,395,185.94666487665643,101.56956491488239,186.4201,101.64489,0.4707510503206492,0.2571381390250187,0
B000003092,인천송천초등학교,남동구,712,335.1747478283022,183.0823549858133,335.12515,182.9588,0.4707510503206492,0.2571381390250187,0
B000003093,인천석천초등학교,남동구,664,312.578697412911,170.73972431261242,312.4436,170.61768,0.4707510503206492,0.2571381390250187,0
B000003094,인천신월초등학교,남동구,374,176.0608928199228,96.169663995357,176.24008,96.14941,0.4707510503206492,0.2571381390250187,0
B000003095,인천구월초등학교,남동구,1713,806.396549199272,440.477632149857,805.99854,440.61484,0.4707510503206492,0.2571381390250187,0
B000003096,인천소래초등학교,남동구,432,203.36445373852044,111.08367605880808,203.31049,111.1183,0.4707510503206492,0.2571381390250187,0
B000003097,인천논현초등학교,남동구,545,256.5593224247538,140.14028576863518,256.48923,139.92607,0.4707510503206492,0.2571381390250187,0
B000003098,인천논곡초등학교,남동구,182,85.67669115835815,46.7991413025534,85.62551,46.81568,0.4707510503206492,0.2571381390250187,0
B000003099,인천새말초등학교,남동구,967,455.21626566006773,248.65258043719308,455.12238,248.59232,0.4707510503206492,0.2571381390250187,0
B000003100,인천조동초등학교,남동구,679,319.6399631677208,174.5967963979877,319.54565,174.66481,0.4707510503206492,0.2571381390250187,0
