학교ID,학교명,gu,iso_child_total,iso_child_6_12,child_pop_quartile,expected_park_count,gap_count,expected_park_area,gap_area,case_type,priority_score,redev_완료수,redev_진행중수,redev_예정수,redev_status,trend_score,priority_rank,student_slope,is_new_school,cohort_change_2029,cohort_change_2031,cohort_change_2029_prophet,cohort_change_2031_prophet,nearest_park_dist_m,case_label,is_island_tag,is_walk_fallback_tag,iso_park_count,iso_park_area,buf_park_count,buf_park_area,access_ratio,iso_green_ratio,iso_playground_count,is_separate_bundle_tag,is_low_access_tag,is_case_conflict_tag,isochrone_area_m2,iso_park_count_raw,iso_park_area_raw,green_bucket,iso_green_ratio_raw
B000003004,인천남부초등학교이작분교장,옹진군,1,1,Q1,1.088235294117647,-1.088235294117647,5676.2411764705885,-5676.2411764705885,,,0,0,0,없음,,,-1.3142857142857145,0,0.88,0.84,0.2381924287438691,0.0,18983.5,별도 묶음,1,1,0,0.0,0,0.0,0.0,0.0,0,1,0,0,157424.2791385953,0,0.0,,0.0
B000003005,인천용현남초등학교자월분교장,옹진군,0,0,Q1,1.088235294117647,-1.088235294117647,5676.2411764705885,-5676.2411764705885,,,0,0,0,없음,,,-0.5428571428571429,0,0.88,0.84,0.2381924287438691,0.0,18983.5,별도 묶음,1,1,0,0.0,0,0.0,0.0,0.0,0,1,0,0,273408.82373606815,0,0.0,,0.0
B000003006,인천부평서초등학교,부평구,1261,768,Q4,2.485294117647059,-1.4852941176470589,45218.47352941177,-44018.47352941177,2,3.0,0,0,0,없음,,,-29.60000000000001,0,1.151,1.236,0.8233957749403983,0.7542296860976732,304.0,접근 가능하나 녹지 부족,0,0,1,1198.0732716434684,1,1200.0,1.0,0.25030336140723114,0,0,0,0,478648.49473366153,1,1198.0732716434684,low,0.25030336140723114
B000003007,인천부곡초등학교,부평구,600,392,Q3,2.544117647058824,-1.5441176470588234,37061.58676470589,-22041.586764705884,4,1.0,0,0,0,없음,,,-76.94285714285715,0,1.151,1.236,0.8233957749403983,0.7542296860976732,420.0,접근 양호,0,0,1,10469.970296923872,1,15020.0,1.0,4.007554049640883,0,0,0,0,261255.87246570224,1,10469.970296923872,high,4.007554049640883
B000003008,인천마곡초등학교,부평구,393,196,Q2,1.8823529411764703,0.1176470588235294,13001.352985294116,-10645.352985294116,3,2.0,0,0,0,없음,,,7.2857142857142865,0,1.151,1.236,0.8233957749403983,0.7542296860976732,0.0,"접근 가능, 중간 수준",0,0,2,1398.4574227765197,5,224617.0,0.4,0.9200239230421446,0,0,1,0,152002.28904400553,2,1398.4574227765197,middle,0.9200239230421446
B000003009,인천대정초등학교,부평구,418,266,Q2,1.8823529411764703,-1.8823529411764703,13001.352985294116,-13001.352985294116,2,3.0,0,0,0,없음,,,-73.77142857142859,0,1.151,1.236,0.8233957749403983,0.7542296860976732,317.0,접근 가능하나 녹지 부족,0,0,1,0.0,0,0.0,0.0,0.0,0,0,1,0,309619.4709952459,0,0.0,low,0.0
B000003010,인천청천초등학교,부평구,503,276,Q3,2.544117647058824,1.4558823529411766,37061.58676470589,-23695.586764705884,3,2.0,0,1,0,진행중포함,,,140.45714285714286,0,1.151,1.236,0.8233957749403983,0.7542296860976732,113.7,"접근 가능, 중간 수준",0,0,4,13344.539457316203,5,18634.0,0.8,3.3080971113452997,0,0,0,0,403390.19708793843,4,13344.539457316203,middle,3.3080971113452997
B000003011,인천갈산초등학교,부평구,186,118,Q1,1.088235294117647,1.911764705882353,5676.2411764705885,2977.7588235294115,4,1.0,0,0,0,없음,,,-18.142857142857142,0,1.151,1.236,0.8233957749403983,0.7542296860976732,212.0,접근 양호,0,0,3,7580.340608058954,5,12468.0,0.6,4.466971574356482,0,0,0,0,169697.53404242307,3,7580.340608058954,high,4.466971574356482
B000003012,인천후정초등학교,부평구,236,151,Q2,1.8823529411764703,3.117647058823529,13001.352985294116,17258.647014705883,4,1.0,0,0,0,없음,,,-44.31428571428573,0,1.151,1.236,0.8233957749403983,0.7542296860976732,65.9,접근 양호,0,0,5,19834.997882222127,7,42290.0,0.7142857142857143,9.86902602622695,0,0,0,0,200982.32418792485,5,19834.997882222127,high,9.86902602622695
B000003013,인천영선초등학교,부평구,881,588,Q4,2.485294117647059,0.5147058823529411,45218.47352941177,-19467.47352941177,4,1.0,0,0,2,예정만,,,-48.457142857142856,0,1.151,1.236,0.8233957749403983,0.7542296860976732,145.9,접근 양호,0,0,3,19094.65184857506,5,51207.0,0.6,4.5174643695814884,0,0,0,0,422685.1677491824,3,19094.65184857506,high,4.5174643695814884
