grid_id,cx,cy,gu,gu_assignment_method,linked_schools,linked_school_count,worst_case_type,avg_green_ratio,avg_playground_count,avg_park_dist_m,land_feasibility_level,priority_score,candidate_rank,candidate_total_pop_current,candidate_child_current,gu_predicted_2029,gu_predicted_2031,actual_2025,gu_growth_factor_2029,gu_growth_factor_2031,legacy_forecast_2029,legacy_forecast_2031,legacy_xgb_predicted_2029,legacy_xgb_predicted_2031,forecast_2029,forecast_2031,xgb_predicted_2029,xgb_predicted_2031,nearest_park_dist,nearest_pg_dist,demand_label,demand_note,demand_model_version
CG_00960,126.7023957538518,37.47565371697824,부평구,linked_school_majority,"['인천동암초등학교', '인천십정초등학교', '인천하정초등학교']",3,3.0,1.709,0.0,211.467,low,107.4,365,1346.323,129.415,31630,28973,36723,0.8613130735506358,0.7889605969011246,1107,1153,1107,1153,111,102,111,102,194.5,1124.7,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_00959,126.7023957538518,37.47340371697825,부평구,linked_school_majority,"['인천동암초등학교', '인천십정초등학교', '인천하정초등학교']",3,3.0,1.709,0.0,211.467,low,84.2,534,1865.234,101.522,31630,28973,36723,0.8613130735506358,0.7889605969011246,1107,1153,1107,1153,87,80,87,80,54.6,851.2,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_00958,126.7023957538518,37.47115371697825,부평구,linked_school_majority,"['인천동암초등학교', '인천십정초등학교', '인천하정초등학교']",3,3.0,1.709,0.0,211.467,low,35.8,1060,782.16,42.572,31630,28973,36723,0.8613130735506358,0.7889605969011246,1107,1153,1107,1153,37,34,37,34,349.3,691.2,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01325,126.72939575385185,37.462153716978264,남동구,linked_school_majority,"['인천만수북초등학교', '인천새말초등학교', '인천동부초등학교']",3,2.0,0.934,0.333,283.933,medium,69.8,649,2194.297,164.357,18709,10219,36005,0.5196222746840716,0.28382169143174557,839,610,839,610,85,47,85,47,312.3,631.5,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01324,126.72939575385185,37.45990371697827,남동구,linked_school_majority,"['인천만수북초등학교', '인천새말초등학교', '인천동부초등학교']",3,2.0,0.934,0.333,283.933,medium,51.4,843,1619.463,121.3,18709,10219,36005,0.5196222746840716,0.28382169143174557,839,610,839,610,63,34,63,34,373.0,720.0,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01368,126.73164575385185,37.462153716978264,남동구,linked_school_majority,"['인천만수북초등학교', '인천새말초등학교', '인천동부초등학교']",3,2.0,0.934,0.333,283.933,medium,60.8,742,2044.016,143.241,18709,10219,36005,0.5196222746840716,0.28382169143174557,839,610,839,610,74,41,74,41,303.3,562.8,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01497,126.73839575385186,37.48915371697822,부평구,linked_school_majority,"['인천부개초등학교', '인천부개서초등학교']",2,2.0,0.479,0.0,441.35,medium,106.4,373,1530.465,128.153,31630,28973,36723,0.8613130735506358,0.7889605969011246,1446,1399,1446,1399,110,101,110,101,136.0,3918.4,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01416,126.73389575385185,37.48915371697822,부평구,linked_school_majority,"['인천부개초등학교', '인천부개서초등학교']",2,2.0,0.479,0.0,441.35,medium,113.0,346,1626.379,136.184,31630,28973,36723,0.8613130735506358,0.7889605969011246,1446,1399,1446,1399,117,107,117,107,617.2,3437.1,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01457,126.73614575385186,37.48915371697822,부평구,linked_school_majority,"['인천부개초등학교', '인천부개서초등학교']",2,2.0,0.479,0.0,441.35,medium,80.2,564,1151.187,96.394,31630,28973,36723,0.8613130735506358,0.7889605969011246,1446,1399,1446,1399,83,76,83,76,408.2,3646.1,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01146,126.71589575385183,37.53190371697816,계양구,linked_school_majority,"['인천효성동초등학교', '인천명현초등학교', '인천효성남초등학교']",3,2.0,1.766,0.0,393.633,medium,44.0,930,1034.13,82.27,10615,7314,17382,0.6106892187320216,0.4207801173627891,1139,1100,1139,1100,50,35,50,35,764.8,8258.7,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
