grid_id,cx,cy,linked_school_count,forecast_2029_x,forecast_2031_x,worst_case_type,avg_green_ratio,avg_playground_count,avg_park_dist_m,land_feasibility_level,priority_score,candidate_rank,xgb_predicted_2029_x,xgb_predicted_2031_x,forecast_2029_y,forecast_2031_y,xgb_predicted_2029_y,xgb_predicted_2031_y,original_forecast_2029,original_forecast_2031,original_xgb_predicted_2029,original_xgb_predicted_2031,forecast_2029,forecast_2031,xgb_predicted_2029,xgb_predicted_2031,nearest_park_dist,nearest_pg_dist,linked_schools
CG_01129,126.71589575385184,37.403653716978354,1,309,301,2.0,0.873,0.0,34.6,medium,305.8,949,109,123,235,114,235,114,,,,,235,114,235,114,231.2,1028.9,['인천동방초등학교']
CG_01128,126.71589575385184,37.40140371697836,1,309,301,2.0,0.873,0.0,34.6,medium,305.8,950,109,123,235,114,235,114,,,,,235,114,235,114,0.0,1152.6,['인천동방초등학교']
CG_01259,126.72489575385184,37.40590371697835,1,309,301,2.0,0.873,0.0,34.6,medium,305.8,951,147,125,235,114,235,114,,,,,235,114,235,114,241.8,317.9,['인천동방초등학교']
CG_01258,126.72489575385184,37.403653716978354,1,309,301,2.0,0.873,0.0,34.6,medium,305.8,952,146,125,235,114,235,114,,,,,235,114,235,114,502.1,565.5,['인천동방초등학교']
CG_01227,126.72264575385184,37.40590371697835,1,309,301,2.0,0.873,0.0,34.6,medium,305.8,953,147,125,235,114,235,114,,,,,235,114,235,114,342.7,347.5,['인천동방초등학교']
CG_01225,126.72264575385184,37.40140371697836,1,309,301,2.0,0.873,0.0,34.6,medium,305.8,954,146,125,235,114,235,114,,,,,235,114,235,114,319.9,701.9,['인천동방초등학교']
CG_01194,126.72039575385185,37.40140371697836,1,309,301,2.0,0.873,0.0,34.6,medium,305.8,955,146,123,235,114,235,114,,,,,235,114,235,114,84.2,797.6,['인천동방초등학교']
CG_01161,126.71814575385184,37.403653716978354,1,309,301,2.0,0.873,0.0,34.6,medium,305.8,956,109,123,235,114,235,114,,,,,235,114,235,114,37.5,835.2,['인천동방초등학교']
CG_01195,126.72039575385185,37.403653716978354,1,309,301,2.0,0.873,0.0,34.6,medium,305.8,957,146,123,235,114,235,114,,,,,235,114,235,114,352.1,747.2,['인천동방초등학교']
CG_01162,126.71814575385184,37.40590371697835,1,309,301,2.0,0.873,0.0,34.6,medium,305.8,958,110,123,235,114,235,114,,,,,235,114,235,114,62.5,887.8,['인천동방초등학교']
CG_01257,126.72489575385184,37.40140371697836,1,309,301,2.0,0.873,0.0,34.6,medium,305.8,959,146,125,235,114,235,114,,,,,235,114,235,114,562.7,292.4,['인천동방초등학교']
CG_01442,126.73614575385186,37.403653716978354,1,308,300,3.0,2.012,0.0,342.7,low,304.8,960,99,97,390,325,390,325,,,,,390,325,390,325,274.4,1034.7,['인천소래초등학교']
CG_01441,126.73614575385186,37.40140371697836,1,308,300,3.0,2.012,0.0,342.7,low,304.8,961,99,97,390,325,390,325,,,,,390,325,390,325,466.6,1126.0,['인천소래초등학교']
CG_01361,126.73164575385184,37.403653716978354,1,308,300,3.0,2.012,0.0,342.7,low,304.8,962,136,102,390,325,390,325,,,,,390,325,390,325,189.6,586.6,['인천소래초등학교']
CG_01479,126.73839575385186,37.40140371697836,1,308,300,3.0,2.012,0.0,342.7,low,304.8,963,100,97,390,325,390,325,,,,,390,325,390,325,658.4,1320.4,['인천소래초등학교']
CG_01320,126.72939575385185,37.40140371697836,1,308,300,3.0,2.012,0.0,342.7,low,304.8,964,136,112,390,325,390,325,,,,,390,325,390,325,181.7,605.3,['인천소래초등학교']
CG_01321,126.72939575385185,37.403653716978354,1,308,300,3.0,2.012,0.0,342.7,low,304.8,965,136,112,390,325,390,325,,,,,390,325,390,325,312.6,881.9,['인천소래초등학교']
CG_01480,126.73839575385186,37.403653716978354,1,308,300,3.0,2.012,0.0,342.7,low,304.8,966,100,97,390,325,390,325,,,,,390,325,390,325,340.2,1077.4,['인천소래초등학교']
CG_01400,126.73389575385184,37.40140371697836,1,308,300,3.0,2.012,0.0,342.7,low,304.8,967,137,102,390,325,390,325,,,,,390,325,390,325,305.0,956.9,['인천소래초등학교']
CG_01401,126.73389575385184,37.403653716978354,1,308,300,3.0,2.012,0.0,342.7,low,304.8,968,137,102,390,325,390,325,,,,,390,325,390,325,307.1,959.0,['인천소래초등학교']
CG_00575,126.67314575385176,37.40815371697835,1,305,298,3.0,4.145,0.0,594.5,low,302.2,969,395,334,304,254,304,254,,,,,304,254,304,254,407.9,1153.2,['인천서면초등학교']
CG_00574,126.67314575385176,37.40590371697835,1,305,298,3.0,4.145,0.0,594.5,low,302.2,970,411,335,304,254,304,254,,,,,304,254,304,254,604.9,838.7,['인천서면초등학교']
CG_00533,126.67089575385177,37.40590371697835,1,305,298,3.0,4.145,0.0,594.5,low,302.2,971,380,324,304,254,304,254,,,,,304,254,304,254,575.1,797.2,['인천서면초등학교']
CG_00532,126.67089575385177,37.403653716978354,1,305,298,3.0,4.145,0.0,594.5,low,302.2,972,380,377,304,254,304,254,,,,,304,254,304,254,594.5,809.2,['인천서면초등학교']
CG_00500,126.66864575385176,37.403653716978354,1,305,298,3.0,4.145,0.0,594.5,low,302.2,973,452,446,304,254,304,254,,,,,304,254,304,254,298.4,656.1,['인천서면초등학교']
CG_00469,126.66639575385176,37.403653716978354,1,305,298,3.0,4.145,0.0,594.5,low,302.2,974,394,363,304,254,304,254,,,,,304,254,304,254,0.0,829.1,['인천서면초등학교']
CG_01555,126.74289575385188,37.53415371697815,1,301,293,3.0,4.788,0.0,285.4,low,297.8,975,260,185,204,116,204,116,,,,,204,116,204,116,433.8,9036.0,['인천부현동초등학교']
CG_01554,126.74289575385188,37.53190371697816,1,301,293,3.0,4.788,0.0,285.4,low,297.8,976,265,185,204,116,204,116,,,,,204,116,204,116,559.9,8405.8,['인천부현동초등학교']
CG_01556,126.74289575385188,37.53640371697815,1,301,293,3.0,4.788,0.0,285.4,low,297.8,977,260,187,204,116,204,116,,,,,204,116,204,116,122.6,9032.0,['인천부현동초등학교']
CG_01578,126.74514575385189,37.53415371697815,1,301,293,3.0,4.788,0.0,285.4,low,297.8,978,245,182,204,116,204,116,,,,,204,116,204,116,442.7,8575.0,['인천부현동초등학교']
CG_01577,126.74514575385189,37.53190371697816,1,301,293,3.0,4.788,0.0,285.4,low,297.8,979,250,182,204,116,204,116,,,,,204,116,204,116,669.2,8480.7,['인천부현동초등학교']
CG_01529,126.74064575385188,37.53190371697816,1,301,293,3.0,4.788,0.0,285.4,low,297.8,980,355,212,204,116,204,116,,,,,204,116,204,116,602.3,8789.5,['인천부현동초등학교']
CG_01531,126.74064575385188,37.53640371697815,1,301,293,3.0,4.788,0.0,285.4,low,297.8,981,350,214,204,116,204,116,,,,,204,116,204,116,170.7,8845.5,['인천부현동초등학교']
