구명,구역명,위치,면적,사업유형,진행단계,출처,위도,경도
부평구,정광아파트,삼산동 205,7322.0,가로주택,조합설립인가,소규모정비,37.5191198186698,126.737313586833
부평구,삼산동260-17번지 일원,삼산동 260-17번지 일원,5757.0,가로주택,조합설립인가,소규모정비,37.5185382806824,126.733998121892
부평구,산곡동 370-100,산곡동 370-100 일원,5922.0,가로주택,조합설립인가,소규모정비,37.4888712478541,126.702033850679
부평구,부개동 223번지 일원,부개동 223번지 일원,6208.2,가로주택,조합설립인가,소규모정비,37.4886688932374,126.732337884592
부평구,광명13차아파트,삼산동 359-2,5808.0,소규모재건축,조합설립인가,소규모정비,37.52332503511,126.738806453888
부평구,동원8차아파트,산곡동 82-116,3280.0,소규모재건축,조합설립인가,소규모정비,37.5066505409639,126.697803635095
부평구,건우아파트,부평동 799-3,7254.1,소규모재건축,조합설립인가,소규모정비,37.5043776876951,126.718033314897
부평구,미도4차아파트,부평동 799-5,6110.6,소규모재건축,조합설립인가,소규모정비,37.5048442645807,126.718615930118
계양구,장미연립,작전동 684번지 일원,2291.0,소규모재건축,착공,소규모정비,37.5258380741449,126.736481050963
계양구,대부연립,박촌동 43번지 외 6필지,1885.0,가로주택,사업시행계획인가,소규모정비,37.5574910403993,126.741878923983
계양구,신한아파트,작전동 852-14 일원,6357.0,가로주택,건축심의완료,소규모정비,37.5361603797794,126.721068819153
계양구,천금연립,작전동 864-3번지 일원,2529.1,가로주택,건축심의완료,소규모정비,37.5323128711191,126.721345968209
계양구,동남아파트,효성동 25-20번지일원,5290.0,소규모재건축,건축심의완료,소규모정비,37.5349707560855,126.711343147116
계양구,신동양아파트,계산동 935-5,3150.0,소규모재건축,건축심의완료,소규모정비,37.5447420538404,126.719297175347
계양구,상록삼익세림,효성동 153-1번지 일원,5821.0,소규모재건축,건축심의완료,소규모정비,37.5297293786701,126.709322520516
계양구,효성동 서광아파트,효성동 236-6번지,6600.2,소규모재건축,건축심의완료,소규모정비,37.5273309820996,126.71422121414
계양구,효성동중앙공영아파트,효성동 293-1번지 일원,7240.0,소규모재건축,건축심의완료,소규모정비,37.529631024575,126.71773147165
계양구,작전동 동아아파트,작전동 854-12번지,4640.1,가로주택,조합설립인가,소규모정비,37.5329769800159,126.72344686546
계양구,효성동 동서아파트,효성동 24-7번지 일원,5734.0,소규모재건축,조합설립인가,소규모정비,37.5342451873918,126.712860448313
계양구,문화연립,작전동 176,1808.3,소규모재건축,조합설립인가,소규모정비,37.5271938298412,126.73058049406
계양구,계산동 동성아파트,계산동 931-29번지 일원,3499.7,소규모재건축,조합설립인가,소규모정비,37.5441894650715,126.721959770861
계양구,효성동 삼진연립,효성동 546-1번지,4278.1,소규모재건축,조합설립인가,소규모정비,37.5258219444125,126.70127741128
계양구,계산동 928-17,계산동 928-17번지,131.8,자율주택,주민합의체,소규모정비,37.5439966213333,126.726615939124
서구,석남아파트,서구 석남동 502-6번지,1271.1,가로주택,사업시행계획인가,소규모정비,37.5065616939754,126.674568692957
서구,공원마을,서구 석남동 588-8번지 외 2필지,3033.3,소규모재건축,사업시행계획인가,소규모정비,37.5013283617014,126.668525538327
서구,동우아파트,서구 석남동 521-2,4325.0,가로주택,사업시행계획인가,소규모정비,37.5084986935483,126.670031681692
서구,우주아파트,서구 석남동 506-3번지 외 4필지,3261.4,가로주택,사업시행계획인가,소규모정비,37.5084002620754,126.673551051523
서구,충영,서구 석남동 508-1번지 외 9필지,2732.7,가로주택,건축심의완료,소규모정비,37.5096110328693,126.673553130393
서구,석남역,서구 석남동 494-2번지 외 30필지,8052.1,가로주택,건축심의완료,소규모정비,37.5076940507845,126.676726489908
서구,석남역 석남동 490번지 일원,서구 석남동 490-1번지 외 15필지,3616.2,가로주택,건축심의완료,소규모정비,37.508573805708,126.677128166977
서구,가정동 498번지 일원,서구 가정동 498번지 외 42필지,6221.8,가로주택,건축심의완료,소규모정비,37.5209695314142,126.67631843478
서구,동진3차아파트,서구 석남동 490번지,5669.7,가로주택,건축심의 접수,소규모정비,37.5091389145817,126.676963769531
서구,중앙아파트,서구 석남동 501번지,3258.5,가로주택,건축심의 접수,소규모정비,37.5072139707245,126.674649329217
서구,은성빌라,서구 석남동 522번지 외 2필지,991.8,가로주택,조합설립인가,소규모정비,37.5093314756811,126.669350414562
서구,석남동 489번지 일원,서구 석남동 489번지 외 5필지,6614.1,가로주택,조합설립인가,소규모정비,37.5091055656087,126.677585979132
서구,가좌동 197번지 일원,서구 가좌동 197번지 일원,6580.6,가로주택,조합설립인가,소규모정비,37.4953484196563,126.680431926392
서구,금강빌라주변,서구 석남동 515-8번지 외6필지,3020.3,가로주택,조합설립인가,소규모정비,37.508428808229,126.671077050384
서구,태산아파트,서구 석남동 499번지,3768.4,가로주택,조합설립인가,소규모정비,37.5083825575773,126.674808707409
서구,중앙1차아파트,서구 석남동 503번지,1482.4,가로주택,조합설립인가,소규모정비,37.5068299532845,126.673404753046
서구,인천 석남동 473번지일대,서구 석남동 473번지 일원,5318.6,가로주택,조합설립인가,소규모정비,37.5119532512163,126.67692008361
서구,창대빌라 일대,서구 석남동 201-1번지 일원,4451.0,가로주택,조합설립인가,소규모정비,37.5129550743618,126.663527656689
서구,석남동 529번지 일원,석남동 529번지 일원,9167.3,가로주택,조합설립인가,소규모정비,37.5039174404467,126.66889680554
서구,가좌동 207번지 동남아파트,서구 가좌동 207번지,6277.6,소규모재건축,조합설립인가,소규모정비,37.4936210184321,126.677349953606
