관리번호,공원명,공원구분,위도,경도,공원면적,gu,nearest_school,nearest_school_dist_m
28170-00009,신비공원,어린이공원,37.445281,126.687507,1514.7,미추홀구,인천관교초등학교,479.0
28170-00008,승학공원,어린이공원,37.44230331,126.693859,1701.3,미추홀구,인천승학초등학교,318.71
28170-00007,관교공원,어린이공원,37.445956,126.6908331,1698.7,미추홀구,인천관교초등학교,175.48
28170-00006,다솔공원,어린이공원,37.46082955,126.6950954,2370.2,미추홀구,인천경원초등학교,84.25
28170-00005,주안공원,어린이공원,37.462849,126.676809,7974.2,미추홀구,인천주안북초등학교,600.41
28170-00004,미추홀공원,근린공원,37.446271,126.6702513,38950.0,미추홀구,인천연학초등학교,334.6
28170-00003,미추홀공원,근린공원,37.446271,126.6702513,38950.0,미추홀구,인천연학초등학교,334.6
28170-00002,석바위공원,근린공원,37.454245,126.693651,47005.0,미추홀구,인천구월서초등학교,182.39
28170-00001,수봉공원,근린공원,37.460187,126.664212,332694.0,미추홀구,인천도화초등학교,459.3
28170-00020,양토공원,어린이공원,37.438253,126.6585122,1500.2,미추홀구,인천학산초등학교,177.66
28170-00019,묵동공원,어린이공원,37.439235,126.6710834,1500.0,미추홀구,인천백학초등학교,84.05
28170-00018,노적공원,어린이공원,37.43760706,126.6526999,2426.5,미추홀구,인천학산초등학교,542.49
28170-00017,스승공원,어린이공원,37.437841,126.6561692,2048.1,미추홀구,인천학산초등학교,282.34
28170-00016,선비공원,어린이공원,37.44151017,126.6756033,3150.0,미추홀구,인천인주초등학교,192.72
28170-00015,햇님공원,어린이공원,37.451449,126.636003,601.1,미추홀구,인천용현초등학교,463.44
28170-00014,새싹공원,어린이공원,37.454945,126.638868,718.3,미추홀구,인천용현초등학교,266.24
28170-00013,보람공원,어린이공원,37.453903,126.637155,685.2,미추홀구,인천용현초등학교,334.94
28170-00012,낙섬공원,어린이공원,37.452747,126.636291,655.7,미추홀구,인천용현초등학교,401.7
28170-00011,산성공원,어린이공원,37.434773,126.686625,2461.2,미추홀구,인천문학초등학교,659.69
28170-00010,나리공원,어린이공원,37.44036588,126.6748498,1504.0,미추홀구,인천인주초등학교,245.69
28710-00003,남산근린공원,근린공원,37.74198178,126.4804194,103240.0,강화군,합일초등학교,331.43
