candidate_id,excluded_by_school,exclude_reason,matched_inst_name,matched_inst_type,matched_distance_m,polygon_used,radius_rule_applied
CG_00906,False,,,,,False,
CG_00970,False,,,,,False,
CG_00885,False,,,,,False,
CG_00016,False,,,,,False,
CG_00021,False,,,,,False,
CG_00019,False,,,,,False,
CG_00018,False,,,,,False,
CG_00017,False,,,,,False,
CG_00062,False,,,,,False,
CG_00053,False,,,,,False,
CG_00063,False,,,,,False,
CG_00070,True,inside_polygon,인천송담초등학교,학교,0.0,True,
CG_00077,False,,,,,False,
CG_00061,False,,,,,False,
CG_00054,False,,,,,False,
CG_01337,False,,,,,False,
CG_00658,False,,,,,False,
CG_00651,False,,,,,False,
CG_00608,False,,,,,False,
CG_00732,False,,,,,False,
CG_00508,True,inside_polygon,인천기계공업고등학교,학교,0.0,True,
CG_00557,False,,,,,False,
CG_00556,False,,,,,False,
CG_00607,False,,,,,False,
CG_00691,False,,,,,False,
CG_00692,False,,,,,False,
CG_00650,False,,,,,False,
CG_01604,False,,,,,False,
CG_01568,False,,,,,False,
CG_01588,False,,,,,False,
CG_01587,False,,,,,False,
CG_01605,False,,,,,False,
CG_00163,False,,,,,False,
CG_00180,False,,,,,False,
CG_00162,False,,,,,False,
CG_00220,False,,,,,False,
CG_00261,False,,,,,False,
CG_00241,False,,,,,False,
CG_01597,False,,,,,False,
CG_01615,False,,,,,False,
CG_01636,False,,,,,False,
CG_00216,False,,,,,False,
CG_00217,False,,,,,False,
CG_00158,False,,,,,False,
CG_00218,False,,,,,False,
CG_00176,False,,,,,False,
CG_00195,False,,,,,False,
CG_00197,False,,,,,False,
CG_00196,False,,,,,False,
CG_00198,False,,,,,False,
CG_00177,False,,,,,False,
CG_00157,False,,,,,False,
CG_00175,False,,,,,False,
CG_00174,False,,,,,False,
CG_00219,True,inside_polygon,광성고등학교,학교,0.0,True,
CG_00026,False,,,,,False,
CG_00025,False,,,,,False,
CG_00030,False,,,,,False,
CG_00022,False,,,,,False,
CG_00027,False,,,,,False,
CG_00031,False,,,,,False,
CG_01550,False,,,,,False,
CG_01390,False,,,,,False,
CG_01358,False,,,,,False,
CG_01392,False,,,,,False,
CG_01431,False,,,,,False,
CG_01468,False,,,,,False,
CG_01469,False,,,,,False,
CG_01467,False,,,,,False,
CG_01357,False,,,,,False,
CG_01393,False,,,,,False,
CG_01429,False,,,,,False,
CG_01428,False,,,,,False,
CG_01430,True,inside_polygon_buffer,인천부평북초등학교,학교,5.9,True,
CG_01391,False,,,,,False,
CG_01008,False,,,,,False,
CG_01007,False,,,,,False,
CG_01009,False,,,,,False,
CG_01040,False,,,,,False,
CG_01076,False,,,,,False,
CG_01043,False,,,,,False,
CG_00340,False,,,,,False,
CG_00339,False,,,,,False,
CG_00371,False,,,,,False,
CG_00338,False,,,,,False,
CG_00372,False,,,,,False,
CG_00418,False,,,,,False,
CG_00399,False,,,,,False,
CG_00417,False,,,,,False,
CG_00398,False,,,,,False,
CG_00419,False,,,,,False,
CG_01376,False,,,,,False,
CG_00984,False,,,,,False,
CG_01049,False,,,,,False,
CG_00983,True,inside_polygon,인천청천초등학교,학교,0.0,True,
CG_00919,False,,,,,False,
CG_01015,False,,,,,False,
CG_01050,False,,,,,False,
CG_01017,False,,,,,False,
CG_01016,False,,,,,False,
CG_00951,False,,,,,False,
CG_00952,False,,,,,False,
CG_00950,False,,,,,False,
CG_00982,False,,,,,False,
CG_00598,False,,,,,False,
CG_00548,False,,,,,False,
CG_00549,False,,,,,False,
CG_00505,False,,,,,False,
CG_00502,False,,,,,False,
CG_00466,False,,,,,False,
CG_00504,False,,,,,False,
CG_00465,False,,,,,False,
CG_00503,False,,,,,False,
CG_01365,False,,,,,False,
CG_01331,False,,,,,False,
CG_01367,False,,,,,False,
CG_01330,False,,,,,False,
CG_01366,False,,,,,False,
CG_01364,False,,,,,False,
CG_00683,False,,,,,False,
CG_00797,False,,,,,False,
CG_00798,False,,,,,False,
CG_00765,False,,,,,False,
CG_00766,False,,,,,False,
CG_00821,False,,,,,False,
CG_00768,False,,,,,False,
CG_00796,False,,,,,False,
CG_00820,False,,,,,False,
CG_00726,False,,,,,False,
CG_00725,False,,,,,False,
CG_00767,True,inside_polygon,문학초등학교,학교,0.0,True,
CG_00724,False,,,,,False,
CG_00727,False,,,,,False,
CG_00181,False,,,,,False,
CG_00183,False,,,,,False,
CG_00202,False,,,,,False,
CG_00165,False,,,,,False,
CG_00164,False,,,,,False,
CG_00148,False,,,,,False,
CG_00149,False,,,,,False,
CG_00147,False,,,,,False,
CG_00182,False,,,,,False,
CG_00166,False,,,,,False,
CG_01278,False,,,,,False,
CG_01204,False,,,,,False,
CG_01237,False,,,,,False,
CG_01236,False,,,,,False,
