학교ID,학교명,위도,경도,소재지도로명주소,시도교육청명
B000003132,인천계양초등학교상야분교장,37.57921669,126.7804405,인천광역시 계양구 벌말로 572-1,인천광역시교육청
B000003128,인천작전초등학교,37.53512867,126.7291294,인천광역시 계양구 주부토로 456,인천광역시교육청
B000003159,인천발산초등학교,37.59011616,126.6991478,인천광역시 서구 고산후로78번길 6,인천광역시교육청
B000003138,인천경서초등학교,37.55666143,126.650985,인천광역시 서구 경서로31번길 31,인천광역시교육청
B000003079,인천만수북초등학교,37.4601282,126.7289698,인천광역시 남동구 백범로180번길 25,인천광역시교육청
B000003157,인천단봉초등학교,37.59843764,126.6377448,인천광역시 서구 단봉로 122,인천광역시교육청
B000003067,인천신송초등학교,37.3906441,126.657771,인천광역시 연수구 해돋이로56번길 28,인천광역시교육청
B000003041,인천용마초등학교,37.51585568,126.7073832,인천광역시 부평구 세월천로30번길 58,인천광역시교육청
B000003048,인천명선초등학교,37.40258015,126.6474045,인천광역시 연수구 컨벤시아대로42번길 64,인천광역시교육청
B000003109,인천효성초등학교,37.536806,126.7106067,인천광역시 계양구 안남로 601,인천광역시교육청
B000002975,인천용현남초등학교,37.4478941,126.641960,인천광역시 미추홀구 매소홀로 133,인천광역시교육청
B000003114,인천서운초등학교,37.52691177,126.7447561,인천광역시 계양구 서운로 12,인천광역시교육청
B000003054,인천연화초등학교,37.41162047,126.6813944,인천광역시 연수구 원인재로 150,인천광역시교육청
B000002955,인천연안초등학교,37.45368752,126.6076254,인천광역시 중구 연안부두로33번길 53,인천광역시교육청
B000002965,인천창영초등학교,37.47158502,126.6396954,인천광역시 동구 우각로15번길 16,인천광역시교육청
B000003027,인천부원초등학교,37.50247054,126.7199279,인천광역시 부평구 원적로472번길 29,인천광역시교육청
B000003099,인천새말초등학교,37.45985909,126.7338477,인천광역시 남동구 만수로50번길 12,인천광역시교육청
B000002960,인성초등학교,37.4739458,126.624248,인천광역시 중구 신포로39번길 42,인천광역시교육청
B000003044,인천삼산초등학교,37.52132548,126.7382531,인천광역시 부평구 후정동로 44,인천광역시교육청
B000003015,인천구산초등학교,37.50605262,126.7394438,인천광역시 부평구 부개로 93,인천광역시교육청
B000002950,인천신광초등학교,37.4636758,126.634803,인천광역시 중구 인중로 63,인천광역시교육청
B000002976,인천학산초등학교,37.43982892,126.658160,인천광역시 미추홀구 한나루로357번길 66,인천광역시교육청
B000003092,인천송천초등학교,37.39543232,126.7226454,인천광역시 남동구 앵고개로815번길 45,인천광역시교육청
B000002986,인천대화초등학교,37.46903368,126.6685133,인천광역시 미추홀구 석정로301번길 13,인천광역시교육청
B000002992,인천연학초등학교,37.44356467,126.6719174,인천광역시 미추홀구 주승로 20,인천광역시교육청
B000003123,인천계산초등학교,37.54493497,126.718468,인천광역시 계양구 경명대로 1005,인천광역시교육청
B000002987,인천주안북초등학교,37.46816063,126.6780956,인천광역시 미추홀구 석정로375번길 14,인천광역시교육청
B000003144,인천석남초등학교,37.50977877,126.680264,인천광역시 서구 서달로130번길 4,인천광역시교육청
B000003168,인천가현초등학교,37.52231349,126.6684961,인천광역시 서구 염곡로 417,인천광역시교육청
B000003142,인천심곡초등학교,37.5436333,126.6826226,인천광역시 서구 심곡로 114,인천광역시교육청
B000002996,덕적초등학교,37.22538058,126.1481953,인천광역시 옹진군 덕적면 덕적남로 15,인천광역시교육청
B000003025,인천부개초등학교,37.48566269,126.7382918,인천광역시 부평구 마분로 9,인천광역시교육청
B000003103,인천담방초등학교,37.4404917,126.7363191,인천광역시 남동구 매소홀로 1027,인천광역시교육청
B000003088,인천사리울초등학교,37.38857805,126.7235882,인천광역시 남동구 아암대로1437번길 50,인천광역시교육청
B000002957,인천공항초등학교,37.49186253,126.4860008,인천광역시 중구 신도시남로 43,인천광역시교육청
B000003075,인천구월서초등학교,37.45302564,126.6950329,인천광역시 남동구 문화서로77번길 14,인천광역시교육청
B000002964,인천송현초등학교,37.48190454,126.6340347,인천광역시 동구 송화로 45,인천광역시교육청
B000003051,인천능허대초등학교,37.42412228,126.6487672,인천광역시 연수구 한진로 12,인천광역시교육청
B000003035,인천산곡남초등학교,37.49689974,126.7062072,인천광역시 부평구 부흥로144번길 30,인천광역시교육청
B000003152,인천검단초등학교,37.61079703,126.6697067,인천광역시 서구 마전로115번길 24,인천광역시교육청
B000003107,인천효성동초등학교,37.53277166,126.7158644,인천광역시 계양구 새벌로171번길 4,인천광역시교육청
B000003166,인천마전초등학교,37.59749871,126.6709335,인천광역시 서구 완정로34번길 23,인천광역시교육청
B000003105,인천서창초등학교,37.43592687,126.7500721,인천광역시 남동구 장아산로174번길 8,인천광역시교육청
B000002979,인천문학초등학교,37.4398904,126.6828332,인천광역시 미추홀구 매소홀로 553,인천광역시교육청
B000003030,인천부평남초등학교,37.48870871,126.7202026,인천광역시 부평구 경인로911번길 28,인천광역시교육청
B000003005,인천용현남초등학교자월분교장,37.2530353,126.3066329,인천광역시 옹진군 자월면 자월서로 177,인천광역시교육청
B000003019,인천부광초등학교,37.49907609,126.7366456,인천광역시 부평구 충선로 104,인천광역시교육청
B000003040,인천동암초등학교,37.47210513,126.7067791,인천광역시 부평구 동암남로35번길 4,인천광역시교육청
B000002984,인천승학초등학교,37.44040271,126.6965588,인천광역시 미추홀구 주승로 259,인천광역시교육청
